BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
101,PC HARDWARE MAINTENANCE AND TROUBLE SHOOTING,DR.S.K.CHAOUHAN,S.K.KATARIA PUBLICATIONS,170.00,2005-01-18,YES,,,
102,COMPUTER SYSTEM ARCHITECTURE,V.K.JIAN,S.K KATARIA PUBLICATIONS,185.00,2005-01-18,YES,,,
103,MICROPROCESSORS 8085 TO PENTIUM & INTERFACING DEVICES,trident share price,DHANPAT RAI,150.00,2005-01-18,YES,,,
104,OPENGL GAME PROGRAMMING,KEVIN HAWKINS & DAVE ASTLE,PRIMA PUBLICATIONS,0.00,2005-01-18,YES,,,
105,MICROPROCESSOR 8086 PROGRAMMING & INTERFACING,A.NAGOOR KANI,RBA PUBLICATIONS,205.00,2005-01-18,YES,,,
106,RANDOMIZED ALGORITHMS,RAJEEV MOTWANI & PRABHAKAR RAGHAVAN,,395.00,2005-01-18,YES,,,
107,MICROSOFT OFFICE 2000 COMPLETE,,BPB PUBLICATION,225.00,2005-01-18,YES,,,
108,AUTOMATA THEORY & FORMAL LANGUAGES,ADESH K PANDEY,KATARIA PUBLICATIONS,110.00,2005-01-18,NO,,,
109,FUNDAMENTALS OG SOFTWARE ENGINEERING,"VIPIN SUXENA, MANUJ, SHAILENDRA",KATARIA PUBLICATIONS,135.00,2005-01-18,YES,,,
110,COMPUTER GRAPHICS & MULTIMEDIA,G.S.BALUJA,DHANPAT RAI PUBLICATIONS,160.00,2005-01-18,YES,,,
111,UNDERSTANDING C,"G.S.BALUJA, G.K.BALUJA",DHANPAT RAI PUBLICATIONS,150.00,2005-01-18,YES,,,
112,DATA STRUCTURES THROUGH C,G.S.BALUJA,DHANPAT RAI PUBLICATIONS,150.00,2005-01-18,YES,,,
113,INTERNET PROGRAMMING,"KRIS JAMSA, KEN COPE",GALGOTIA PUBLICATIONS,250.00,2005-01-18,YES,,,
114,THEORY OF COMPUTER SCIECE,"K.L.P.MISHRA, N.CHANDRASEKHARAN",PRENTICE HALL,95.00,2005-01-18,YES,,,
115,GUI WITH X-WINDOWS AND MOTIF,"R.MURALIDHAR RAO, G.L.GANGA PRASAD",NEW AGE PUBLICATION,0.00,2005-01-19,YES,,,
116,A BOOK ON C,AL KELLEY AND IRA POHL,PERSON EDUCATION,0.00,2005-01-19,YES,,,
117,SOFTWARE ENGINEERING,SANGEETHA SABHARWAL,UMESH PUBLICATION,150.00,2005-01-19,YES,,,
118,ENGINEERING GRAPHICS,P.I.VARGHESE,V.I.P.PUBLICATION,170.00,2005-01-19,YES,,,
119,A TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL -I,"B.L.THERAJA, A.K.THERAJA",S.CHAND PUBLICATION,180.00,2005-01-19,YES,,,
120,ENGINEERING MECHANICS,"S.TIMOSHENKO, D.H.YOUNG",MCGRAW-HILL,295.00,2005-01-19,YES,,,
121,A TEXT BOOK OF APPLIED MECHANICS DYNAMICS & STATICS,I.B.PRASAD,KHANNA PUBLICATIONS,175.00,2005-01-19,YES,,,
122,S.CHAND'S TEXT BOOK OF PHYSICS,P.VIVEKANANDAN,S.CHAND PUBLICATIONS,125.00,2005-01-19,YES,,,
123,MATHEMATICS,"DR.R.K.GUPTHA, PR.J.P.ARYA",PRAKASHAN KRISHNA,270.00,2005-01-19,YES,,,
124,A TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL-II,"B.L.THERAJA, A.K.THERAJA",S.CHAND PUBLICATION,160.00,2005-01-19,YES,,,
125,A TEXT BOOK OF APPLIED MECHANICS,I.B.PRASAD,KHANNA PUBLICATIONS,175.00,2005-01-19,YES,,,
126,THINKING IN C++,SUNIL K PANDEY,KATARIA PUBLICATIONS,150.00,2005-01-19,YES,,,
127,ELEMENTARY ENGINEERING MATHEMATICS,DR.B.S.GREWAL,KHANNA PUBLICATIONS,125.00,2005-01-19,YES,,,
128,ENGINEERING CHEMISTRY,JAIN & JAIN,DHANPAT RAI PUBLISHING COMPANY,185.00,2005-01-19,YES,,,
129,FUNDAMENTALS OF COMPUTER ALGORITHMS,"HOROWITZ, SAHNI",,100.00,2005-02-09,YES,,,
130,HISTORY OF SCIENCE & TECHNOLOGY,R.V.G.MENON,,70.00,2005-02-09,YES,,,
131,COMMUNICATION SYSTEMS,SIMON HAYKIN,,55.00,2005-02-09,YES,,,
132,ARCHITECTURE AND CONCEPTUAL DESIGN OF THE UNIX SYSTEM,PROF.RAHUL BANERJEE,,45.00,2005-02-09,YES,,,
133,"CIRCUITS, DEVICES AND SYSTEMS","RALPH J SMITH, RICHARD C.DORF",,0.00,2005-02-09,YES,,,
134,BASIC ELECTRONICS AND LINEAR CIRCUITS,"N.N.BHARGHAVA, D.C.KULSHESHTHA",TATA MCGRAW HILL,0.00,2005-03-17,YES,,,
135,DIGITAL LOGIC & COMPUTER DESIGN,M MORRIS MANO,,0.00,2005-03-17,YES,,,
136,A TEXT BOOK OF ENGINEERING MECHANICS,R.S.KHURMI,,0.00,2005-03-17,YES,,,
137,ENGINEERING MECHANICS,"S.TIMOSHENKO, D.H.YOUNG",,0.00,2005-03-17,YES,,,
138,SYSTEM SOFTWARE,LELAND L.BECK,,0.00,2005-03-17,YES,,,
139,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S.S.SASTHRY,,0.00,2005-03-17,YES,,,
140,HIGHER ENGINEERING MATHEMATICS,DR.B.S.GREWAL,,250.00,2005-03-17,YES,,,
141,SURVEYING AND LEVELLING PART 1,T.P.KANETKAR,,0.00,2005-03-17,YES,,,
142,ENGINEERING GRAPHICS,"K.C.JOHN, P.I.VARGHEESE",,0.00,2005-03-17,YES,,,
143,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S.S.SASTHRY,,0.00,2005-03-17,YES,,,
144,SYSTEM SOFTWARE,LELAND L.BECH,,0.00,2005-03-17,YES,,,
145,PROGRAMMING WITH C,SCHAUMS,,0.00,2005-03-17,YES,,,
146,INTRODUCTION TO AI AND EXPERT SYSTEMS,DAN W.PATTERSON,,0.00,2005-03-17,YES,,,
147,COMPUTER ORGANIZATION,CARL HAMACHER,,0.00,2005-03-17,YES,,,
148,DATA STRUCTURES USING C AND C++,"AARON M, TENENBAUM",,0.00,2005-03-17,YES,,,
149,DATA STRUCTURES AND ALGORITHMS,ALFRED V.AHO,,0.00,2005-03-17,YES,,,
150,PRINCIPLES OF COMMUNICATION SYSTEMS,TAUB.SCHILLING,,0.00,2005-03-17,YES,,,
151,THE INTEL MICROPROCESSOR,BARRY B BERRY,,0.00,2005-03-17,YES,,,
152,FRONTIERS OF ELECTRONIC COMMERSE,"KALAKOTA, WHINSTON",,0.00,2005-03-17,YES,,,
153,"COMPILERS- PRINCIPLES, TECHNIQUES AND TOOLS","AHO, SETHI & ULLMAN",,0.00,2005-03-17,YES,,,
154,ARTIFICIAL INTELLIGENCE,PARRICH HENRY WINSTON,,0.00,2005-03-17,YES,,,
155,ELEMENTS OF THEORY OF COMPUTATION,"HARRY R.LEWIS, PAPADIMITRION",,0.00,2005-03-17,YES,,,
156,THE DESIGN OF UNIX OPERATING SYSTEM,MAURICE J BACH,,0.00,2005-03-17,YES,,,
157,TEST YOUR C SKILLS,YASHVANTH KANETKAR,,0.00,2005-03-17,YES,,,
158,POINTERS IN C,YASHVANTH KANETKAR,,0.00,2005-03-17,YES,,,
159,ELECTRONICS ANALOG & DIGITAL,I.J.NAGRATH,,0.00,2005-03-17,YES,,,
160,BASIC ELECTRONICS AND LINEAR CIRCUITS,BHARGAVA,,0.00,2005-03-17,YES,,,
161,DISCRETE MATHEMATICAL STRUCTURES,BERNARD KOLMAN,,0.00,2005-03-17,YES,,,
162,OPERATING SYSTEMS,CHARLES CROWLEY,,0.00,2005-03-17,YES,,,
163,AN INTRODUCTION TO FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,0.00,2005-03-17,YES,,,
164,DIGITAL FUNDAMENTALS,FLOYD,,0.00,2005-03-17,YES,,,
165,COMPUTER ORGANIZATION & ARCHITECTURE,WILLIAM STALLINGS,,0.00,2005-03-17,YES,,,
166,INTRODUCTION TO ALGORITHMS,CORMEN,,0.00,2005-03-17,YES,,,
167,ELECTRONIC COMMUNICATION SYSTEMS,KENNEDY,,0.00,2005-03-17,YES,,,
168,"MULTIMEDIA COMPUTING, COMMUNICATIONS & APPLICATIONS",STEINMETZ,,0.00,2005-03-17,YES,,,
169,DIGITAL INTEGRATED ELECTRONICS,"TAUB, SCHILLING",,0.00,2005-03-17,YES,,,
170,ELECTRONIC COMMERCE,GERY P. SCHNEIDER,,0.00,2005-03-17,YES,,,
171,COMPUTER ORGANIZATION & DESIGN,PATTERSON,,,2005-03-17,YES,,,
172,MULTIMEDIA: MAKING IT WORK,TAY VACIGHAN,,0.00,2005-03-17,YES,,,
173,DATABASE MANAGEMENT SYSTEM,RAGHU RAMAKRISHNAN,,0.00,2005-03-17,YES,,,
174,THE DESIGN AND ANALYSIS OF COMPUTER ALGORITHMS,"AHO, HOPCROFT & ULLMAN",,0.00,2005-03-17,YES,,,
175,DISRETE & COMBINATORIAL MATHEMATICS,RALPH P GRIMALDI,,0.00,2005-03-17,YES,,,
176,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0.00,2006-01-25,YES,,,
177,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0.00,2006-01-25,YES,,,
178,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0.00,2006-01-25,YES,,,
179,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0.00,2006-01-25,YES,,,
180,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0.00,2006-01-25,YES,,,
181,DATA STRUCTURES USING C,RADHA GANESAN,,265.00,2010-10-19,YES,,,
182,THEORY OF COMPUTATION: FORMAL LANGUAGES AND AUTOMATA,SARADHI VARMA & THIRUPATHI RAO,,225.00,2010-10-19,YES,,,
183,BASIC ELECTRONICS AND LINEAR CIRCUITS,"N.N.BHARGAVA, S.C.GUPTHA",,,2010-10-19,YES,,,
184,A TEXT BOOK OF COMPUTER PROGRAMMING IN C (FOR B TECH III SEMESTER),SABU G.R.,,190.00,2010-10-19,YES,,,
185,LINEAR PROGRAMMING,L.R.POTTI,YAMUNA PUBLICATIONS,45.00,2010-12-13,YES,,,
186,LINEAR CONTROL SYSTEMS WITH MATLAB APPLICATIONS,B.S.MANKE,KHANNA PUBLICATIONS,180.00,2010-12-13,YES,,,
187,SOFTWARE ENGINEERING,"JOSPHINE MARY, K.SWAMINATHAN",CHARULATHA PUBLICATIONS,90.00,2010-12-13,YES,,,
188,THEORY OF COMPUTATIONS,SUSHIL KUMAR AZAD,,160.00,2010-12-13,YES,,,
189,DATA STRUCTURES THROUH C++,G.S.BALUJA,,175.00,2010-12-13,YES,,,
190,LINEAR PROGRAMMING AND THEORY OF GAMES,"R.K.GUPTHA, MAN MOHAN",,0.00,2006-03-22,YES,,,
191,MICROPROCESSOR AND MICRO CONTROLLER,R.THEAGARAJAN,,0.00,2006-03-22,YES,,,
192,THEORY OF COMPUTATION  FORMAL LANGUAGES AND AUTOMATION THEORY,G.P.SARADHI VARMA,,0.00,2006-03-22,YES,,,
193,FUNDAMENTALS OF COMPUTER ORGANIZATION,M.V.L.N.RAJA RAO,,0.00,2006-03-22,YES,,,
194,DATA STRUCTURES THROUGH C,G.S.BALUJA,,0.00,2006-03-22,YES,,,
195,DATA STRUCTURES AND ALGORITHMS USING C,NITHIN UPADHYAY,,0.00,2006-03-22,YES,,,
196,C++ AND OBJECT ORIENTED PROGRAMMING PARADIGM,DEBASISH JANA,,0.00,2006-03-22,YES,,,
197,AN INTRODUCTION TO MULTIMEDIA THEORY AND FORMAL LANGUAGE,ADESH K.PANDEY,,0.00,2006-03-22,YES,,,
198,APPLIED MECHANICS DYNAMICS AND STATICS,I.B.PRASAD,,0.00,2006-03-22,YES,,,
199,CBSE PHYSICS,"MATHACHAN, LAZARUS, JOSEPH",,0.00,2006-03-22,YES,,,
200,PROGRAMMING LANGUAGE,"BRIAN W KERNINHAM, DENNIS RITCHIE",,0.00,2006-08-30,YES,,,
201,IEE AEROSPACE AND ELECTRICAL SYSTEMS [MAGAZINE],"S.BARDHAN, F.STUDENBERG,K MORRISON",,0.00,2006-08-30,YES,,,
202,IEE AEROSPACE AND ELECTRICAL SYSTEMS [MAGAZINE],"S.BARDHAN, F.STUDENBERG,K MORRISON",,0.00,2006-09-01,YES,,,
203,COMPUTER FRONTIERS OF SEARCH,,,0.00,2006-12-01,YES,,,
204,INDUSTRIAL ENGINEERING AND MANAGEMENT,,,0.00,2007-02-14,YES,,,
205,MICROSOFT HOST INTEGRATION SERVER 2000 RESOURCE KIT,,,,2007-02-14,YES,,,
